@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
40,'2019/01/23 12:03:04:938',1,0.877198,0.211334,0.380886,-0.024063,0.057074,0.270244,0.378612,0.463097,0.134878,0.09326,0.185352,0.265103,0.283887,516.796875,0.005786,0.027642,1
41,'2019/01/23 12:03:04:954',1,0.699824,0.046879,0.556209,0.448024,0.425729,0.284611,0.205289,0.344228,0.058831,0.011301,0.358753,0.098159,0.252536,129.199219,0.003268,0.012889,1
42,'2019/01/23 12:03:04:971',1,0.780428,0.126687,0.331194,0.056685,0.186942,0.14537,0.209312,0.218656,0.22664,0.262174,0.339366,0.21805,0.256718,301.464844,0.003465,0.01268,1
43,'2019/01/23 12:03:04:991',1,0.770624,0.282216,0.784073,0.371683,0.293659,0.060192,0.040312,0.182754,0.210589,0.282253,0.459721,0.126353,0.122649,129.199219,0.003078,0.010467,1
44,'2019/01/23 12:03:05:005',1,1.000562,0.304618,0.481137,0.006439,0.127704,0.147134,-0.019788,0.226126,0.195856,0.02725,0.363738,0.253398,0.176661,172.265625,0.004132,0.020083,1
45,'2019/01/23 12:03:05:028',1,0.764565,0.238545,0.710591,0.316497,0.143716,0.278515,0.173916,0.087157,0.232123,0.133311,0.283794,0.081334,0.234048,129.199219,0.003376,0.012525,1
46,'2019/01/23 12:03:05:041',1,0.716632,0.195117,0.493697,0.227483,0.30954,0.315262,0.178207,0.168783,0.134447,0.213146,0.442338,0.252551,0.159668,172.265625,0.003316,0.011345,1
47,'2019/01/23 12:03:05:056',1,0.888978,0.196306,0.445782,0.169905,0.24337,0.220923,0.134024,0.236166,0.231569,0.211219,0.257291,0.223238,0.259246,129.199219,0.003377,0.009829,1
48,'2019/01/23 12:03:05:075',1,0.695004,0.110976,0.618783,0.350027,0.351751,0.302444,0.272192,0.253815,0.169132,0.245878,0.332663,0.201468,0.234934,86.132813,0.002792,0.011512,1
49,'2019/01/23 12:03:05:088',1,0.707872,-0.010942,0.412019,0.205589,0.370598,0.287282,0.215908,0.265214,0.27413,0.28888,0.256399,0.193489,0.287275,344.53125,0.002928,0.010051,1
50,'2019/01/23 12:03:05:106',1,0.885924,0.130862,0.387333,0.157927,0.271121,0.139991,0.122394,0.173332,0.226004,0.211357,0.291186,0.170203,0.345692,215.332031,0.003365,0.011281,1
51,'2019/01/23 12:03:05:123',1,0.889578,0.202587,0.625083,0.263773,0.218163,0.210831,0.116457,0.160424,0.174555,0.271433,0.314239,0.106472,0.155136,172.265625,0.003071,0.010955,1
52,'2019/01/23 12:03:05:139',1,0.764105,-0.014664,0.225674,0.166147,0.29907,0.270044,0.257145,0.211625,0.334838,0.3024,0.38442,0.263309,0.388934,258.398438,0.002824,0.011804,1
53,'2019/01/23 12:03:05:154',1,0.796697,0.163714,0.602258,0.190999,0.144274,0.275772,0.204041,0.232222,0.312122,0.281124,0.216256,0.226775,0.390529,215.332031,0.002688,0.010717,1
54,'2019/01/23 12:03:05:171',1,0.864466,0.181845,0.456487,0.185597,0.167101,0.019434,0.109199,0.237642,0.215764,0.122387,0.292133,0.248085,0.338142,215.332031,0.003127,0.01158,1
55,'2019/01/23 12:03:05:188',1,0.960207,0.322285,0.549368,0.317895,0.330706,0.201671,0.080617,0.147494,0.014415,0.124914,0.437002,0.219862,0.23232,129.199219,0.003387,0.017053,1
56,'2019/01/23 12:03:05:204',1,0.653705,0.040299,0.336566,0.009109,0.225073,0.323374,0.35655,0.337811,0.245898,0.16644,0.333638,0.180262,0.233068,344.53125,0.002687,0.009839,1
57,'2019/01/23 12:03:05:221',1,0.774749,0.078432,0.539815,0.238194,0.348851,0.372349,0.285468,0.290604,0.243508,0.264507,0.278079,0.059183,0.123011,86.132813,0.00277,0.013871,1
58,'2019/01/23 12:03:05:238',1,0.643013,-0.069733,0.315414,-0.066064,0.09376,0.300838,0.34236,0.332327,0.316615,0.289976,0.557367,0.30058,0.218177,387.597656,0.002445,0.008395,1
59,'2019/01/23 12:03:05:255',1,0.900419,0.227825,0.539557,0.314078,0.418347,0.213516,0.15042,0.029292,0.215833,0.155378,0.164246,0.177891,0.193015,129.199219,0.002861,0.011901,1
60,'2019/01/23 12:03:05:272',1,0.801382,0.203996,0.630224,0.19924,0.286608,0.253435,0.152505,0.126705,0.221439,0.128278,0.217187,0.303447,0.229195,172.265625,0.002708,0.009778,1
61,'2019/01/23 12:03:05:288',1,0.728576,0.19655,0.786475,0.417905,0.19986,0.197198,0.057944,-0.015352,0.173087,0.246851,0.396495,0.18622,0.24419,172.265625,0.002808,0.010106,1
62,'2019/01/23 12:03:05:306',1,0.857726,0.178982,0.620754,0.262968,0.200478,0.130019,0.2025,0.169289,0.267957,0.292218,0.234147,0.146153,0.276438,129.199219,0.002716,0.009846,1
63,'2019/01/23 12:03:05:322',1,0.897023,0.298841,0.497803,0.154777,0.113489,0.059969,0.125413,0.028639,0.134293,0.223861,0.45264,0.24964,0.238546,172.265625,0.003085,0.013022,1
64,'2019/01/23 12:03:05:337',1,0.81796,0.230254,0.499499,0.130562,0.243916,0.411492,0.221611,0.194237,0.259981,0.144885,0.209954,0.168763,0.287966,129.199219,0.002899,0.009699,1
65,'2019/01/23 12:03:05:354',1,0.861444,0.267515,0.524682,0.174749,0.075056,0.012867,0.126557,0.218935,0.300867,0.304681,0.198365,0.203022,0.394081,215.332031,0.003116,0.013389,1
66,'2019/01/23 12:03:05:371',1,0.825548,0.084399,0.364993,0.178369,0.398776,0.196183,0.041001,0.189784,0.292784,0.189707,0.361795,0.256551,0.243773,172.265625,0.002953,0.012743,1
67,'2019/01/23 12:03:05:388',1,0.853369,0.161929,0.458724,0.103102,0.085716,0.068857,0.277241,0.18498,0.086473,0.195288,0.363709,0.262952,0.246266,258.398438,0.003236,0.01409,1
68,'2019/01/23 12:03:05:405',1,0.580284,0.001887,0.497308,0.164787,0.342199,0.356114,0.253339,0.349175,0.328591,0.339226,0.29516,0.188223,0.307427,2067.1875,0.002535,0.009065,1
69,'2019/01/23 12:03:05:421',1,0.913102,0.099531,0.461325,0.217078,0.198012,0.173312,0.250782,0.105828,0.211791,0.30214,0.304685,0.164573,0.221515,172.265625,0.003037,0.010832,1
70,'2019/01/23 12:03:05:438',1,0.632258,0.034018,0.564905,0.412943,0.404336,0.21728,0.107139,0.162776,0.137676,0.220903,0.427033,0.218476,0.243734,172.265625,0.002327,0.00748,1
71,'2019/01/23 12:03:05:455',1,0.682156,-0.111623,0.325121,0.204403,0.375287,0.310746,0.067866,0.188378,0.145733,0.167774,0.409094,0.303793,0.361662,861.328125,0.002687,0.009105,1
72,'2019/01/23 12:03:05:471',1,0.937344,0.196914,0.455151,0.19159,0.391202,0.183218,0.098959,0.091261,0.138023,0.159626,0.353874,0.327485,0.185169,172.265625,0.003467,0.012703,1
73,'2019/01/23 12:03:05:488',1,0.797942,0.094087,0.417557,0.139606,0.203728,0.334654,0.341617,0.193111,0.156654,0.243148,0.474774,0.233355,0.262778,258.398438,0.002898,0.009984,1
74,'2019/01/23 12:03:05:505',1,0.861873,0.217938,0.567759,0.23928,0.343878,0.146955,0.06856,0.188318,0.251783,0.189509,0.348285,0.296254,0.128048,129.199219,0.002764,0.009659,1
75,'2019/01/23 12:03:05:522',1,0.71354,0.176029,0.427226,0.150031,0.266921,0.142995,0.131839,0.041831,0.065402,0.195562,0.449161,0.243934,0.255494,172.265625,0.002647,0.009158,1
76,'2019/01/23 12:03:05:537',1,0.706409,0.080423,0.651921,0.239712,0.317642,0.320936,0.158926,0.26457,0.301591,0.237033,0.329324,0.262479,0.258153,43.066406,0.002393,0.009428,1
77,'2019/01/23 12:03:05:555',1,0.912475,0.179294,0.473637,0.169759,0.181896,0.163835,0.18908,0.225616,0.033639,0.03936,0.287011,0.365818,0.331866,172.265625,0.002937,0.012283,1
78,'2019/01/23 12:03:05:571',1,0.864087,0.165651,0.581444,0.207385,0.206265,0.30941,0.319639,0.230914,0.125113,0.104065,0.243847,0.233404,0.367864,86.132813,0.002747,0.010309,1
79,'2019/01/23 12:03:05:589',1,0.675551,0.026843,0.610254,0.263875,0.377138,0.421233,0.138327,0.140657,0.127703,0.130018,0.37245,0.190042,0.265054,172.265625,0.002317,0.008226,1
80,'2019/01/23 12:03:05:604',1,0.789017,0.379747,0.498823,0.20303,0.266448,0.141052,0.169896,0.289174,0.248941,0.247724,0.318792,0.238167,0.202381,129.199219,0.002473,0.010147,1
81,'2019/01/23 12:03:05:622',1,0.655403,0.058923,0.266349,-0.118903,0.250326,0.242991,0.229666,0.229711,0.13914,0.240058,0.352172,0.29536,0.305782,559.863281,0.002584,0.009466,1
82,'2019/01/23 12:03:05:638',1,0.702478,-0.003726,0.471392,0.113955,0.238006,0.248574,0.357089,0.429088,0.129333,0.182923,0.287668,0.232062,0.407563,559.863281,0.002441,0.008383,1
83,'2019/01/23 12:03:05:655',1,0.912023,0.258675,0.735657,0.33167,0.094263,0.084617,0.115432,0.226126,0.245979,0.242369,0.223031,0.102581,0.240726,129.199219,0.003179,0.012766,1
84,'2019/01/23 12:03:05:671',1,0.749791,0.157745,0.425326,0.091134,0.154921,0.35826,0.310256,0.124524,0.127504,0.30149,0.403126,0.159116,0.235051,215.332031,0.002395,0.007394,1
85,'2019/01/23 12:03:05:688',1,0.61773,-0.044515,0.540461,0.334779,0.417154,0.421558,0.353492,0.367222,0.180611,0.182957,0.334376,0.228584,0.132647,86.132813,0.002376,0.009956,1
86,'2019/01/23 12:03:05:705',1,0.909334,0.248796,0.54782,0.186331,0.301847,0.199303,-0.049971,0.112234,0.222565,0.218714,0.339268,0.196744,0.187503,172.265625,0.003185,0.011063,1
87,'2019/01/23 12:03:05:722',1,0.787124,0.148506,0.471414,0.043168,0.238573,0.341837,0.275146,0.166958,0.195016,0.350405,0.36964,0.136084,0.244324,215.332031,0.002745,0.012677,1
88,'2019/01/23 12:03:05:738',1,0.886987,0.307383,0.6001,0.182241,0.121118,0.214135,0.241111,0.260678,0.076447,0.044249,0.253713,0.276311,0.236034,172.265625,0.003007,0.012312,1
